sample_idx,time_s,ao_v,ipg_est_mv,source_signal_uv
119,0.232422,-0.11013727,-0.110137,-11.013727
120,0.234375,-0.08573830,-0.085738,-8.573830
121,0.236328,-0.06047265,-0.060473,-6.047265
122,0.238281,-0.08476134,-0.084761,-8.476134
123,0.240234,-0.05954755,-0.059548,-5.954755
124,0.242188,-0.05678384,-0.056784,-5.678384
125,0.244141,-0.00606030,-0.006060,-0.606030
126,0.246094,-0.01054473,-0.010545,-1.054473
127,0.248047,-0.05439426,-0.054394,-5.439426
128,0.250000,-0.02855724,-0.028557,-2.855724
129,0.251953,-0.01061684,-0.010617,-1.061684
130,0.253906,0.00621312,0.006213,0.621312
131,0.255859,0.00149944,0.001499,0.149944
132,0.257812,0.01482743,0.014827,1.482743
133,0.259766,-0.00365150,-0.003652,-0.365150
134,0.261719,-0.01734510,-0.017345,-1.734510
135,0.263672,-0.09757610,-0.097576,-9.757610
136,0.265625,-0.09288092,-0.092881,-9.288092
137,0.267578,-0.05462138,-0.054621,-5.462138
138,0.269531,-0.09025376,-0.090254,-9.025376
139,0.271484,-0.10459412,-0.104594,-10.459412
140,0.273438,-0.06077399,-0.060774,-6.077399
141,0.275391,-0.06175350,-0.061753,-6.175350
142,0.277344,-0.05460965,-0.054610,-5.460965
143,0.279297,-0.04355032,-0.043550,-4.355032
144,0.281250,-0.01582447,-0.015824,-1.582447
145,0.283203,-0.00425119,-0.004251,-0.425119
146,0.285156,-0.03187494,-0.031875,-3.187494
147,0.287109,-0.00143786,-0.001438,-0.143786
148,0.289062,-0.00510837,-0.005108,-0.510837
149,0.291016,0.00527711,0.005277,0.527711
150,0.292969,-0.01737665,-0.017377,-1.737665
151,0.294922,-0.00818679,-0.008187,-0.818679
152,0.296875,0.00784454,0.007845,0.784454
153,0.298828,-0.04948609,-0.049486,-4.948609
154,0.300781,-0.03505694,-0.035057,-3.505694
155,0.302734,-0.06535133,-0.065351,-6.535133
156,0.304688,-0.11239940,-0.112399,-11.239940
157,0.306641,-0.13186774,-0.131868,-13.186774
158,0.308594,-0.12661803,-0.126618,-12.661803
159,0.310547,-0.12714480,-0.127145,-12.714480
160,0.312500,-0.14259424,-0.142594,-14.259424
161,0.314453,-0.10003032,-0.100030,-10.003032
162,0.316406,-0.06604602,-0.066046,-6.604602
163,0.318359,-0.05115224,-0.051152,-5.115224
164,0.320312,-0.04811571,-0.048116,-4.811571
165,0.322266,-0.04048538,-0.040485,-4.048538
166,0.324219,-0.04896024,-0.048960,-4.896024
167,0.326172,-0.05601610,-0.056016,-5.601610
168,0.328125,0.01538381,0.015384,1.538381
169,0.330078,0.06134329,0.061343,6.134329
170,0.332031,0.03964052,0.039641,3.964052
171,0.333984,0.00741423,0.007414,0.741423
172,0.335938,0.01211469,0.012115,1.211469
173,0.337891,0.05503010,0.055030,5.503010
174,0.339844,0.01845645,0.018456,1.845645
175,0.341797,-0.00358183,-0.003582,-0.358183
176,0.343750,-0.00424923,-0.004249,-0.424923
177,0.345703,-0.02304196,-0.023042,-2.304196
178,0.347656,-0.02174065,-0.021741,-2.174065
179,0.349609,-0.02176680,-0.021767,-2.176680
180,0.351562,-0.01437261,-0.014373,-1.437261
181,0.353516,-0.01624642,-0.016246,-1.624642
182,0.355469,-0.02545808,-0.025458,-2.545808
183,0.357422,-0.04237955,-0.042380,-4.237955
184,0.359375,-0.03603342,-0.036033,-3.603342
185,0.361328,-0.05068301,-0.050683,-5.068301
186,0.363281,-0.01942785,-0.019428,-1.942785
187,0.365234,-0.05756552,-0.057566,-5.756552
188,0.367188,-0.08358202,-0.083582,-8.358202
189,0.369141,-0.06366168,-0.063662,-6.366168
190,0.371094,-0.05046010,-0.050460,-5.046010
191,0.373047,-0.03451402,-0.034514,-3.451402
192,0.375000,-0.03439917,-0.034399,-3.439917
193,0.376953,-0.04131140,-0.041311,-4.131140
194,0.378906,-0.04339430,-0.043394,-4.339430
195,0.380859,-0.06868002,-0.068680,-6.868002
196,0.382812,-0.07738476,-0.077385,-7.738476
197,0.384766,-0.07439752,-0.074398,-7.439752
198,0.386719,-0.02956939,-0.029569,-2.956939
199,0.388672,-0.06590337,-0.065903,-6.590337
200,0.390625,-0.04451011,-0.044510,-4.451011
201,0.392578,-0.05618151,-0.056182,-5.618151
202,0.394531,-0.02765624,-0.027656,-2.765624
203,0.396484,0.03863551,0.038636,3.863551
204,0.398438,0.03814866,0.038149,3.814866
205,0.400391,-0.00079999,-0.000800,-0.079999
206,0.402344,0.05367432,0.053674,5.367432
207,0.404297,0.04563726,0.045637,4.563726
208,0.406250,0.03475889,0.034759,3.475889
209,0.408203,-0.01221587,-0.012216,-1.221587
210,0.410156,-0.05008203,-0.050082,-5.008203
211,0.412109,0.00678505,0.006785,0.678505
212,0.414062,-0.03481891,-0.034819,-3.481891
213,0.416016,-0.02629020,-0.026290,-2.629020
214,0.417969,0.01868873,0.018689,1.868873
215,0.419922,0.01835076,0.018351,1.835076
216,0.421875,-0.02453120,-0.024531,-2.453120
217,0.423828,-0.03626474,-0.036265,-3.626474
218,0.425781,0.00183487,0.001835,0.183487
219,0.427734,-0.00529230,-0.005292,-0.529230
220,0.429688,0.03057515,0.030575,3.057515
221,0.431641,-0.00893465,-0.008935,-0.893465
222,0.433594,-0.05693240,-0.056932,-5.693240
223,0.435547,-0.01509816,-0.015098,-1.509816
224,0.437500,-0.01910715,-0.019107,-1.910715
225,0.439453,-0.07378447,-0.073784,-7.378447
226,0.441406,-0.09448407,-0.094484,-9.448407
227,0.443359,-0.11609305,-0.116093,-11.609305
228,0.445312,-0.09419989,-0.094200,-9.419989
229,0.447266,-0.09149474,-0.091495,-9.149474
230,0.449219,-0.13187035,-0.131870,-13.187035
231,0.451172,-0.11094242,-0.110942,-11.094242
232,0.453125,-0.10428523,-0.104285,-10.428523
233,0.455078,-0.12087787,-0.120878,-12.087787
234,0.457031,-0.11055044,-0.110550,-11.055044
235,0.458984,-0.10687865,-0.106879,-10.687865
236,0.460938,-0.07429231,-0.074292,-7.429231
237,0.462891,-0.01637284,-0.016373,-1.637284
238,0.464844,-0.05497175,-0.054972,-5.497175
239,0.466797,-0.03718242,-0.037182,-3.718242
240,0.468750,-0.01193047,-0.011930,-1.193047
241,0.470703,0.00921509,0.009215,0.921509
242,0.472656,0.00837910,0.008379,0.837910
243,0.474609,0.02319094,0.023191,2.319094
244,0.476562,-0.01961126,-0.019611,-1.961126
245,0.478516,-0.00772679,-0.007727,-0.772679
246,0.480469,0.00110730,0.001107,0.110730
247,0.482422,-0.01976668,-0.019767,-1.976668
248,0.484375,0.05535293,0.055353,5.535293
249,0.486328,-0.03349987,-0.033500,-3.349987
250,0.488281,-0.04342932,-0.043429,-4.342932
251,0.490234,-0.03550802,-0.035508,-3.550802
252,0.492188,-0.04772320,-0.047723,-4.772320
253,0.494141,-0.06102988,-0.061030,-6.102988
254,0.496094,-0.00224406,-0.002244,-0.224406
255,0.498047,-0.05847761,-0.058478,-5.847761
256,0.500000,-0.09714542,-0.097145,-9.714542
257,0.501953,-0.04785752,-0.047858,-4.785752
258,0.503906,-0.03613069,-0.036131,-3.613069
259,0.505859,-0.00836280,-0.008363,-0.836280
260,0.507812,-0.01451005,-0.014510,-1.451005
261,0.509766,-0.03483884,-0.034839,-3.483884
262,0.511719,-0.08473959,-0.084740,-8.473959
263,0.513672,-0.11333680,-0.113337,-11.333680
264,0.515625,-0.15049167,-0.150492,-15.049167
265,0.517578,-0.12556203,-0.125562,-12.556203
266,0.519531,-0.12583204,-0.125832,-12.583204
267,0.521484,-0.14358320,-0.143583,-14.358320
268,0.523438,-0.12998583,-0.129986,-12.998583
269,0.525391,-0.14433413,-0.144334,-14.433413
270,0.527344,-0.13821905,-0.138219,-13.821905
271,0.529297,-0.15941815,-0.159418,-15.941815
272,0.531250,-0.12804098,-0.128041,-12.804098
273,0.533203,-0.04790597,-0.047906,-4.790597
274,0.535156,-0.04787710,-0.047877,-4.787710
275,0.537109,-0.05200766,-0.052008,-5.200766
276,0.539062,-0.06781483,-0.067815,-6.781483
277,0.541016,-0.05957966,-0.059580,-5.957966
278,0.542969,-0.02219514,-0.022195,-2.219514
279,0.544922,-0.08799575,-0.087996,-8.799575
280,0.546875,-0.07928240,-0.079282,-7.928240
281,0.548828,-0.09382021,-0.093820,-9.382021
282,0.550781,-0.08111716,-0.081117,-8.111716
283,0.552734,-0.12294306,-0.122943,-12.294306
284,0.554688,-0.13071284,-0.130713,-13.071284
285,0.556641,-0.11983613,-0.119836,-11.983613
286,0.558594,-0.16440881,-0.164409,-16.440881
287,0.560547,-0.11433204,-0.114332,-11.433204
288,0.562500,-0.11450322,-0.114503,-11.450322
289,0.564453,-0.07053091,-0.070531,-7.053091
290,0.566406,-0.07553424,-0.075534,-7.553424
291,0.568359,-0.11047801,-0.110478,-11.047801
292,0.570312,-0.12921134,-0.129211,-12.921134
293,0.572266,-0.16088321,-0.160883,-16.088321
294,0.574219,-0.13916700,-0.139167,-13.916700
295,0.576172,-0.17253950,-0.172540,-17.253950
296,0.578125,-0.15589200,-0.155892,-15.589200
297,0.580078,-0.14949059,-0.149491,-14.949059
298,0.582031,-0.14619078,-0.146191,-14.619078
299,0.583984,-0.10893682,-0.108937,-10.893682
300,0.585938,-0.13111063,-0.131111,-13.111063
301,0.587891,-0.13872701,-0.138727,-13.872701
302,0.589844,-0.10689825,-0.106898,-10.689825
303,0.591797,-0.11644253,-0.116443,-11.644253
304,0.593750,-0.08834621,-0.088346,-8.834621
305,0.595703,-0.13448670,-0.134487,-13.448670
306,0.597656,-0.14142070,-0.141421,-14.142070
307,0.599609,-0.11753380,-0.117534,-11.753380
308,0.601562,-0.11191263,-0.111913,-11.191263
309,0.603516,-0.08816988,-0.088170,-8.816988
310,0.605469,-0.08315238,-0.083152,-8.315238
311,0.607422,-0.12105032,-0.121050,-12.105032
312,0.609375,-0.06739226,-0.067392,-6.739226
313,0.611328,-0.09042438,-0.090424,-9.042438
314,0.613281,-0.07805794,-0.078058,-7.805794
315,0.615234,-0.04803355,-0.048034,-4.803355
316,0.617188,-0.00282157,-0.002822,-0.282157
317,0.619141,0.01523703,0.015237,1.523703
318,0.621094,-0.05609038,-0.056090,-5.609038
319,0.623047,-0.05222268,-0.052223,-5.222268
320,0.625000,-0.05969145,-0.059691,-5.969145
321,0.626953,-0.10350154,-0.103502,-10.350154
322,0.628906,-0.07777020,-0.077770,-7.777020
323,0.630859,-0.12410314,-0.124103,-12.410314
324,0.632812,-0.10921132,-0.109211,-10.921132
325,0.634766,-0.10964212,-0.109642,-10.964212
326,0.636719,-0.11506975,-0.115070,-11.506975
327,0.638672,-0.09993322,-0.099933,-9.993322
328,0.640625,-0.10521394,-0.105214,-10.521394
329,0.642578,-0.09326034,-0.093260,-9.326034
330,0.644531,-0.09648803,-0.096488,-9.648803
331,0.646484,-0.05494601,-0.054946,-5.494601
332,0.648438,-0.02664945,-0.026649,-2.664945
333,0.650391,-0.12240572,-0.122406,-12.240572
334,0.652344,-0.14101878,-0.141019,-14.101878
335,0.654297,-0.06589196,-0.065892,-6.589196
336,0.656250,-0.09200705,-0.092007,-9.200705
337,0.658203,-0.04377827,-0.043778,-4.377827
338,0.660156,-0.03474709,-0.034747,-3.474709
339,0.662109,-0.08520053,-0.085201,-8.520053
340,0.664062,-0.07124886,-0.071249,-7.124886
341,0.666016,-0.04818894,-0.048189,-4.818894
342,0.667969,-0.07987077,-0.079871,-7.987077
343,0.669922,-0.06983721,-0.069837,-6.983721
344,0.671875,-0.06855121,-0.068551,-6.855121
345,0.673828,-0.09891415,-0.098914,-9.891415
346,0.675781,-0.10667132,-0.106671,-10.667132
347,0.677734,-0.08719961,-0.087200,-8.719961
348,0.679688,-0.08245009,-0.082450,-8.245009
349,0.681641,-0.11680675,-0.116807,-11.680675
350,0.683594,-0.15339422,-0.153394,-15.339422
351,0.685547,-0.12751718,-0.127517,-12.751718
352,0.687500,-0.05804322,-0.058043,-5.804322
353,0.689453,-0.06408823,-0.064088,-6.408823
354,0.691406,-0.07583235,-0.075832,-7.583235
355,0.693359,-0.07993537,-0.079935,-7.993537
356,0.695312,-0.01794095,-0.017941,-1.794095
357,0.697266,-0.04724861,-0.047249,-4.724861
358,0.699219,-0.10159107,-0.101591,-10.159107
359,0.701172,-0.12161117,-0.121611,-12.161117
360,0.703125,-0.14827762,-0.148278,-14.827762
361,0.705078,-0.12967297,-0.129673,-12.967297
362,0.707031,-0.13652746,-0.136527,-13.652746
363,0.708984,-0.12887378,-0.128874,-12.887378
364,0.710938,-0.15780950,-0.157809,-15.780950
365,0.712891,-0.15968757,-0.159688,-15.968757
366,0.714844,-0.09972068,-0.099721,-9.972068
367,0.716797,-0.10925014,-0.109250,-10.925014
368,0.718750,-0.10258977,-0.102590,-10.258977
369,0.720703,-0.09097669,-0.090977,-9.097669
370,0.722656,-0.08996988,-0.089970,-8.996988
371,0.724609,-0.13865216,-0.138652,-13.865216
372,0.726562,-0.11685420,-0.116854,-11.685420
373,0.728516,-0.09641640,-0.096416,-9.641640
374,0.730469,-0.09758873,-0.097589,-9.758873
375,0.732422,-0.09748236,-0.097482,-9.748236
376,0.734375,-0.11968513,-0.119685,-11.968513
377,0.736328,-0.11107209,-0.111072,-11.107209
378,0.738281,-0.07902561,-0.079026,-7.902561
379,0.740234,-0.07498664,-0.074987,-7.498664
380,0.742188,-0.13752463,-0.137525,-13.752463
381,0.744141,-0.16352145,-0.163521,-16.352145
382,0.746094,-0.18311429,-0.183114,-18.311429
383,0.748047,-0.17928222,-0.179282,-17.928222
384,0.750000,-0.16032054,-0.160321,-16.032054
385,0.751953,-0.16180540,-0.161805,-16.180540
386,0.753906,-0.11781744,-0.117817,-11.781744
387,0.755859,-0.13593187,-0.135932,-13.593187
388,0.757812,-0.09917627,-0.099176,-9.917627
389,0.759766,-0.09613648,-0.096136,-9.613648
390,0.761719,-0.13108173,-0.131082,-13.108173
391,0.763672,-0.14614967,-0.146150,-14.614967
392,0.765625,-0.09877187,-0.098772,-9.877187
393,0.767578,-0.09011572,-0.090116,-9.011572
394,0.769531,-0.05690565,-0.056906,-5.690565
395,0.771484,-0.04605139,-0.046051,-4.605139
396,0.773438,-0.04809368,-0.048094,-4.809368
397,0.775391,-0.07737989,-0.077380,-7.737989
398,0.777344,-0.06527987,-0.065280,-6.527987
399,0.779297,-0.05605085,-0.056051,-5.605085
400,0.781250,-0.02988150,-0.029881,-2.988150
401,0.783203,-0.05765658,-0.057657,-5.765658
402,0.785156,-0.10360378,-0.103604,-10.360378
403,0.787109,-0.05309098,-0.053091,-5.309098
404,0.789062,-0.02024483,-0.020245,-2.024483
405,0.791016,0.00111024,0.001110,0.111024
406,0.792969,0.02861565,0.028616,2.861565
407,0.794922,0.07454096,0.074541,7.454096
408,0.796875,0.03303138,0.033031,3.303138
409,0.798828,0.00980773,0.009808,0.980773
410,0.800781,-0.04562433,-0.045624,-4.562433
411,0.802734,-0.06632663,-0.066327,-6.632663
412,0.804688,-0.06051780,-0.060518,-6.051780
413,0.806641,-0.00026730,-0.000267,-0.026730
414,0.808594,0.01563298,0.015633,1.563298
415,0.810547,0.03827018,0.038270,3.827018
416,0.812500,0.03514855,0.035149,3.514855
417,0.814453,0.06719180,0.067192,6.719180
418,0.816406,0.02660179,0.026602,2.660179
419,0.818359,-0.02279635,-0.022796,-2.279635
420,0.820312,0.02208085,0.022081,2.208085
421,0.822266,0.03150560,0.031506,3.150560
422,0.824219,0.00307709,0.003077,0.307709
423,0.826172,-0.00864701,-0.008647,-0.864701
424,0.828125,-0.01728920,-0.017289,-1.728920
425,0.830078,-0.04876545,-0.048765,-4.876545
426,0.832031,-0.02802441,-0.028024,-2.802441
427,0.833984,0.02488922,0.024889,2.488922
428,0.835938,0.00942110,0.009421,0.942110
429,0.837891,0.05548772,0.055488,5.548772
430,0.839844,0.06496712,0.064967,6.496712
431,0.841797,0.07831320,0.078313,7.831320
432,0.843750,0.03817878,0.038179,3.817878
433,0.845703,0.08566456,0.085665,8.566456
434,0.847656,0.07668433,0.076684,7.668433
435,0.849609,0.05826636,0.058266,5.826636
436,0.851562,0.05069567,0.050696,5.069567
437,0.853516,0.02687930,0.026879,2.687930
438,0.855469,-0.00861399,-0.008614,-0.861399
439,0.857422,0.01763945,0.017639,1.763945
440,0.859375,0.00133809,0.001338,0.133809
441,0.861328,0.01960356,0.019604,1.960356
442,0.863281,0.05408020,0.054080,5.408020
443,0.865234,0.02309973,0.023100,2.309973
444,0.867188,0.02238377,0.022384,2.238377
445,0.869141,0.01518727,0.015187,1.518727
446,0.871094,0.01627076,0.016271,1.627076
447,0.873047,0.01455928,0.014559,1.455928
448,0.875000,0.01294650,0.012946,1.294650
449,0.876953,-0.01436000,-0.014360,-1.436000
450,0.878906,0.01625209,0.016252,1.625209
451,0.880859,0.05357681,0.053577,5.357681
452,0.882812,0.04763880,0.047639,4.763880
453,0.884766,0.05490098,0.054901,5.490098
454,0.886719,0.03033975,0.030340,3.033975
455,0.888672,0.01951117,0.019511,1.951117
456,0.890625,0.01126802,0.011268,1.126802
457,0.892578,0.02682404,0.026824,2.682404
458,0.894531,0.00791852,0.007919,0.791852
459,0.896484,0.01133752,0.011338,1.133752
460,0.898438,0.02919767,0.029198,2.919767
461,0.900391,0.01489408,0.014894,1.489408
462,0.902344,0.05093266,0.050933,5.093266
463,0.904297,0.04917390,0.049174,4.917390
464,0.906250,0.02431367,0.024314,2.431367
465,0.908203,0.02976712,0.029767,2.976712
466,0.910156,-0.02164248,-0.021642,-2.164248
467,0.912109,0.01188104,0.011881,1.188104
468,0.914062,-0.04640389,-0.046404,-4.640389
469,0.916016,-0.09816440,-0.098164,-9.816440
470,0.917969,-0.09806937,-0.098069,-9.806937
471,0.919922,-0.12340814,-0.123408,-12.340814
472,0.921875,-0.13147958,-0.131480,-13.147958
473,0.923828,-0.09187817,-0.091878,-9.187817
474,0.925781,-0.08446871,-0.084469,-8.446871
475,0.927734,-0.08051462,-0.080515,-8.051462
476,0.929688,-0.05897280,-0.058973,-5.897280
477,0.931641,-0.01464299,-0.014643,-1.464299
478,0.933594,-0.00964286,-0.009643,-0.964286
479,0.935547,-0.03447341,-0.034473,-3.447341
480,0.937500,-0.01490444,-0.014904,-1.490444
481,0.939453,-0.06526375,-0.065264,-6.526375
482,0.941406,-0.05164580,-0.051646,-5.164580
483,0.943359,-0.08806405,-0.088064,-8.806405
484,0.945312,-0.11673784,-0.116738,-11.673784
485,0.947266,-0.15364714,-0.153647,-15.364714
486,0.949219,-0.10959703,-0.109597,-10.959703
487,0.951172,-0.13011891,-0.130119,-13.011891
488,0.953125,-0.16114909,-0.161149,-16.114909
489,0.955078,-0.16951527,-0.169515,-16.951527
490,0.957031,-0.17550683,-0.175507,-17.550683
491,0.958984,-0.19252078,-0.192521,-19.252078
492,0.960938,-0.17630151,-0.176302,-17.630151
493,0.962891,-0.16461118,-0.164611,-16.461118
494,0.964844,-0.11229293,-0.112293,-11.229293
495,0.966797,-0.14273282,-0.142733,-14.273282
496,0.968750,-0.11912056,-0.119121,-11.912056
497,0.970703,-0.10421767,-0.104218,-10.421767
498,0.972656,-0.13543393,-0.135434,-13.543393
499,0.974609,-0.11457532,-0.114575,-11.457532
500,0.976562,-0.14013442,-0.140134,-14.013442
501,0.978516,-0.10864549,-0.108645,-10.864549
502,0.980469,-0.13269574,-0.132696,-13.269574
503,0.982422,-0.15518250,-0.155183,-15.518250
504,0.984375,-0.15918856,-0.159189,-15.918856
505,0.986328,-0.13932742,-0.139327,-13.932742
506,0.988281,-0.12100999,-0.121010,-12.100999
507,0.990234,-0.13584470,-0.135845,-13.584470
508,0.992188,-0.09339907,-0.093399,-9.339907
509,0.994141,-0.16048262,-0.160483,-16.048262
510,0.996094,-0.14265407,-0.142654,-14.265407
511,0.998047,-0.10881228,-0.108812,-10.881228
512,1.000000,-0.12156260,-0.121563,-12.156260
513,1.001953,-0.12755927,-0.127559,-12.755927
514,1.003906,-0.17035580,-0.170356,-17.035580
515,1.005859,-0.14927467,-0.149275,-14.927467
516,1.007812,-0.11246385,-0.112464,-11.246385
517,1.009766,-0.09888756,-0.098888,-9.888756
518,1.011719,-0.11985466,-0.119855,-11.985466
519,1.013672,-0.17802982,-0.178030,-17.802982
520,1.015625,-0.18526050,-0.185260,-18.526050
521,1.017578,-0.15263349,-0.152633,-15.263349
522,1.019531,-0.14225909,-0.142259,-14.225909
523,1.021484,-0.13371145,-0.133711,-13.371145
524,1.023438,-0.15443869,-0.154439,-15.443869
525,1.025391,-0.13540774,-0.135408,-13.540774
526,1.027344,-0.12599474,-0.125995,-12.599474
527,1.029297,-0.07148678,-0.071487,-7.148678
528,1.031250,-0.06280636,-0.062806,-6.280636
529,1.033203,-0.05241827,-0.052418,-5.241827
530,1.035156,-0.02117167,-0.021172,-2.117167
531,1.037109,-0.02285901,-0.022859,-2.285901
532,1.039062,0.05449585,0.054496,5.449585
533,1.041016,-0.00321230,-0.003212,-0.321230
534,1.042969,-0.04173524,-0.041735,-4.173524
535,1.044922,-0.05519640,-0.055196,-5.519640
536,1.046875,-0.01686234,-0.016862,-1.686234
537,1.048828,-0.02580097,-0.025801,-2.580097
538,1.050781,-0.05607525,-0.056075,-5.607525
539,1.052734,-0.03235091,-0.032351,-3.235091
540,1.054688,-0.05046464,-0.050465,-5.046464
541,1.056641,-0.05949915,-0.059499,-5.949915
542,1.058594,-0.09156227,-0.091562,-9.156227
543,1.060547,-0.06633504,-0.066335,-6.633504
544,1.062500,-0.06160540,-0.061605,-6.160540
545,1.064453,-0.02236378,-0.022364,-2.236378
546,1.066406,-0.03550098,-0.035501,-3.550098
